APOGEE_ID,region,line_Fe,abun_Fe_log,MAD_Fe_log,abun_Fe_sol,MAD_Fe_sol,line_Mg,abun_Mg_log,MAD_Mg_log,abun_Mg_sol,MAD_Mg_sol,line_Si,abun_Si_log,MAD_Si_log,abun_Si_sol,MAD_Si_sol,line_Ti,abun_Ti_log,MAD_Ti_log,abun_Ti_sol,MAD_Ti_sol,line_C,abun_C_log,MAD_C_log,abun__C_sol,MAD_C_sol,line_K,abun_K_log,MAD_K_log,abun_K_sol,MAD_K_sol
2M06390409+0916139,2264,,,,,,3,6.786,0,-0.817330225067138,0,2.3.7,7.283,0.0222390332775848,-0.227000007629394,0.022238835328832,,,,,,2,8.112,0.0170499255128141,-0.277999534606934,0.0170497501867769,,,,,
2M06392200+1006233,2264,10,7.37825,0.0170499255128145,-0.127999997138977,0.017049750186777,3,6.975,0.034099851025629,-0.628330095367431,0.0340998538534681,2.3.7,7.124,0.0177912266220665,-0.385999927520752,0.0177913510469971,,,,,,2,8.2865,0.0578214865217193,-0.103500022888184,0.057821537422826,,,,,
2M06393398+0949208,2264,10,7.39,0.014826022185057,-0.116250133514404,0.0148263615257736,3,6.871,0.0370650554626405,-0.732330186920166,0.0370651968546057,3.7,7.17725,0.0366944049080137,-0.332749972343445,0.0366945731644528,,,,,,2,8.106,0.015567323294308,-0.284000053405762,0.0155672554261653,,,,,
2M06394147+0946196,2264,10,7.571,0.0177912266220665,0.0647500991821292,0.017791351046997,3,7.0995,0.0207564310590787,-0.503830059127807,0.0207563405682204,2.3.7,7.2655,0.0170499255128148,-0.244500169754028,0.0170497501867769,,,,,,2,8.376,0.0103782155295387,-0.0139995956420904,0.01037817028411,,,,,
2M06395368+0908113,2264,10,7.5515,0.028910743260859,0.0452500820159915,0.028910768711413,3,6.8995,0.0600453898494765,-0.703830106811523,0.0600449260838293,3.7,7.13,0.0570801854124656,-0.380000123977661,0.057079936562606,,,,,,2,8.137,0.048925873210684,-0.252999916076661,0.0489258618993276,,,,,
2M06395984+0933416,2264,10,7.276,0.0163086244035618,-0.230249977111816,0.0163088562863854,3,7.019,0.0504084754291901,-0.584329946594238,0.0504083566599392,2.3.7,7.246,0.0296520443701114,-0.264000186920166,0.0296520160917188,,,,,,2,8.4305,0.0793192186900492,0.0405000305175775,0.079318771891438,,,,,
2M06401512+1005515,2264,,,,,,,,,,,2,7.0965,0.0845083264548192,-0.413500080108642,0.0845082105134074,,,,,,2,8.155,0.0074130110925291,-0.234999790191651,0.0074138877227155,,,,,
2M06402564+0959597,2264,10,7.474,0.0526323787569486,-0.0322500228881832,0.0526324522807709,,,,,,3,7.454,0.1586384373801,-0.056000003814697,0.158638250742704,,,,,,,,,,,,,,,
2M06402842+1015002,2264,10,7.328,0.0400302598996501,-0.178249931335449,0.040030186375829,3,6.8435,0.0555975831939588,-0.759830101089477,0.0555977952819086,3,7.0205,0.136399404102516,-0.48950005531311,0.136399415413873,,,,,,2,8.16,0.0296520443701114,-0.230000152587891,0.0296527230515475,,,,,
2M06403332+0958529,2264,10,7.391,0.0192738288405726,-0.115250205993652,0.0192738458076087,3,7.065,0.0296520443701127,-0.538329942779541,0.0296520160917188,2.3.7,7.297,0.0311346465886175,-0.213000068664551,0.0311345108523305,,,,,,2,8.173,0.0133434199665509,-0.216999664306641,0.0133431598053334,,,,,
