ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M03365224+3249019,54.217669,32.817219,IC348,3854.0,3868.0,3898.0,4.0,4.1,4.13,-0.12,-0.09,-0.07,-0.08,-0.07,-0.05,23.29,23.87,24.93
2M03365584+3302591,54.232693,33.049755,IC348,3330.0,3339.0,3404.0,3.59,3.62,3.7,-0.28,-0.25,-0.23,-0.07,-0.07,-0.04,16.53,17.33,18.75
2M03365655+3135326,54.235633,31.592398,IC348,3190.0,3229.0,3335.0,3.58,3.64,3.75,-0.15,0.0,0.02,-0.1,-0.09,-0.07,14.82,15.17,16.57
2M03374993+3241445,54.458058,32.695702,IC348,3568.0,3616.0,3662.0,3.84,3.89,4.05,-0.27,-0.15,-0.12,-0.09,-0.08,-0.06,19.24,19.61,20.62
2M03382269+3302517,54.594556,33.047695,IC348,3383.0,3435.0,3483.0,3.58,3.76,3.87,-0.21,-0.11,-0.05,-0.09,-0.08,-0.05,15.57,16.14,18.19
2M03385426+3258068,54.726085,32.968571,IC348,3916.0,3933.0,3992.0,4.22,4.26,4.33,-0.07,-0.03,0.01,-0.05,-0.04,-0.02,24.03,24.37,25.22
2M03410822+3313548,55.284258,33.231911,IC348,4273.0,4280.0,4316.0,3.94,3.95,4.01,-0.11,-0.1,-0.08,0.0,0.0,0.02,34.85,35.16,35.65
2M03414251+3118567,55.427162,31.315769,IC348,4422.0,4437.0,4480.0,4.0,4.03,4.12,-0.1,-0.08,-0.07,0.0,0.03,0.05,28.15,28.38,28.65
2M03420867+3228276,55.536136,32.474358,IC348,3340.0,3408.0,3493.0,3.69,3.83,3.93,-0.09,0.01,0.18,-0.09,-0.08,-0.06,19.15,19.84,21.18
2M03422824+3230479,55.617699,32.513313,IC348,3515.0,3524.0,3561.0,3.79,3.81,3.89,-0.01,0.0,0.03,-0.06,-0.05,-0.02,19.51,19.95,21.03
2M03424360+3159150,55.681701,31.987524,IC348,4649.0,4670.0,4801.0,4.08,4.13,4.21,-0.1,-0.09,-0.06,-0.03,-0.01,0.0,35.57,36.16,37.0
2M03431065+3235323,55.794385,32.592319,IC348,3651.0,3690.0,3767.0,4.08,4.13,4.22,-0.03,0.06,0.08,-0.06,-0.05,-0.03,15.02,15.31,16.53
2M03431433+3221430,55.809735,32.361954,IC348,3187.0,3225.0,3265.0,3.66,3.76,3.82,-0.34,-0.22,-0.07,-0.1,-0.09,-0.07,41.23,44.01,45.38
2M03434788+3217567,55.949526,32.29911,IC348,3729.0,3754.0,3800.0,3.81,3.89,4.02,-0.15,-0.11,-0.06,-0.06,-0.05,-0.02,14.54,14.81,15.76
2M03434875+3207332,55.953146,32.125916,IC348,3533.0,3551.0,3601.0,3.69,3.74,3.79,-0.05,-0.01,0.02,-0.09,-0.08,-0.05,12.09,13.94,14.86
2M03435622+3230178,55.984278,32.504955,IC348,3789.0,3852.0,3884.0,4.15,4.19,4.23,-0.15,-0.11,-0.09,-0.05,-0.04,-0.02,14.72,14.96,16.04
2M03440216+3219399,56.009038,32.327766,IC348,3765.0,3773.0,3840.0,3.91,3.94,4.04,-0.07,-0.05,-0.02,-0.07,-0.07,-0.04,19.24,19.38,20.36
2M03442023+3230228,56.084332,32.506344,IC348,3464.0,3472.0,3524.0,3.75,3.78,3.9,-0.12,-0.07,-0.04,-0.06,-0.05,-0.02,19.34,19.69,20.7
2M03442584+3307155,56.107683,33.120991,IC348,3667.0,3733.0,3769.0,4.11,4.16,4.22,-0.07,0.02,0.04,-0.07,-0.05,-0.03,13.48,14.35,15.02
2M03442766+3233495,56.115276,32.563755,IC348,3529.0,3542.0,3583.0,3.45,3.47,3.55,-0.37,-0.34,-0.31,-0.11,-0.1,-0.08,30.84,32.78,33.48
2M03444856+3157276,56.202342,31.957691,IC348,3364.0,3382.0,3466.0,3.59,3.69,3.8,-0.23,-0.2,-0.04,-0.1,-0.09,-0.06,16.12,16.99,19.01
2M03450577+3203080,56.274055,32.052246,IC348,4047.0,4069.0,4112.0,4.06,4.13,4.25,-0.16,-0.13,-0.1,-0.07,-0.06,-0.03,13.65,14.36,15.31
2M03451598+3230519,56.316608,32.514442,IC348,4323.0,4332.0,4386.0,3.8,3.83,3.92,-0.08,-0.07,-0.05,0.01,0.02,0.04,24.42,24.56,25.07
